Num,Name,City,City2,City3,City4,Bunnum,Roadadd,X,Y
21658,더플러스라이프,경기도,광주시,신현동,,341-17,문형산길,127.1645613,37.36222757
21659,에스엠트래비즈,서울특별시,마포구,서교동,,370-28,홍익로5길,126.9194404,37.55259513
21660,해피그린코리아,서울특별시,은평구,갈현동,,388-1,통일로,126.9195084,37.62696186
21661,DHKOREA,경기도,시흥시,정왕동,,2210,오이도로,126.6995873,37.34765658
21662,리얼몰디브천안,충청남도,천안시 동남구,봉명동,,433,성정로,127.1332474,36.81396209
21663,백즈테이지그룹,서울특별시,마포구,공덕동,,461,백범로,126.9500762,37.54388181
21664,와이썬코리아,서울특별시,마포구,동교동,,206-1,월드컵북로,126.9202971,37.55657193
21665,삼포우등관광,경상남도,사천시,동금동,,Jan-91,남일로,128.0776993,34.93265213
21666,철마고속관광,경상북도,포항시 남구,대도동,,69-22,대해로,129.3656939,36.01992314
21667,디엠지이엔티,서울특별시,구로구,구로동,,612-13,구로중앙로,126.8778367,37.5049641
21668,더에스앤에스,서울특별시,용산구,한강로3가,,40-999,한강대로21나길,126.9632358,37.52791238
21669,토브컨설턴트,경기도,양평군,용문면,삼성리,576,용문삼성로20번길,127.5658035,37.46731514
21670,위너스티에스,경기도,시흥시,정왕동,,1411-8,큰솔로7번안길,126.7505352,37.34127684
21671,세명티앤에이,서울특별시,마포구,도화동,,553,독막로,126.9493785,37.54300172
21672,엠제이바이오,서울특별시,서초구,서초동,,1340-11,강남대로47길,127.0309854,37.48884273
21673,케이씨아이디,경기도,성남시 분당구,수내동,,04월 02일,수내로,127.1166432,37.38113906
21674,모두트래비즈,서울특별시,서초구,서초동,,1682,서초대로65길,127.0177874,37.4996599
21675,씨에스엠앤이,서울특별시,중구,태평로1가,,61-27,세종대로21길,126.9762469,37.56811898
21676,글로벌코리아,인천광역시,남동구,구월동,,23,구월로,126.7140285,37.45599268
21677,한스어드벤처,부산광역시,중구,중앙동4가,,Nov-84,충장대로5번길,129.0371512,35.10691018
21678,로프탑코리아,서울특별시,중구,충무로4가,,125-3,퇴계로,126.9954932,37.5619021
21680,광남고속관광,전라남도,고흥군,고흥읍,남계리,714-2,봉동주공길,127.2900497,34.60609558
